"id","ride_id","created_at","timezone","device_type","fitness_discipline","ride_title","status","total_work","avg_difficulty","ride_duration","ride_image_url","instructor_id","instructor_name","distance","total_output","avg_pace","avg_speed","avg_output","avg_cadence","avg_resistance"
"876af53a630b421397c2be53fe4a4444","e3221134b9c94eb4865e2cd025a03331",2024-05-26 18:07:01,"America/New_York","apple_tv","Yoga","20 min Slow Flow","COMPLETE",0,4.7976,1200,"https://s3.amazonaws.com/peloton-ride-images/48159f66ca0edce8a58c41ae3e8a20162ce4c619/img_1696631766_e579d4224a6243bbb2b17d095d2367bb.png","a8c56f162c964e9392568bc13828a3fb","Anna Greenberg",NA,NA,NA,NA,NA,NA,NA
"582274a193754aa09258dc6da9b177a0","482b07b52b534621aa5b23888d6457a0",2024-05-26 17:50:52,"Etc/GMT+4","home_bike_plus","Strength","10 min Arms & Light Weights","COMPLETE",0,7.1354,600,"https://s3.amazonaws.com/peloton-ride-images/5d5bf42a7a3fc1a0067ef023e9b9500399ecb224/img_1715108764_2f7b9a9485df49b79ec3682d8e46bfd4.png","c9bd86e59b9b4f96981848467838aa9c","Tunde Oyeneyin",NA,NA,NA,NA,NA,NA,NA
"01e4268fc7c24dbdbf5e661408a318ef","9fe299de39ac488a871df3a46a6801e2",2024-05-25 19:24:57,"Etc/GMT+4","home_bike_plus","Strength","10 min Core Strength","COMPLETE",0,7.6285,600,"https://s3.amazonaws.com/peloton-ride-images/1712e34e99e08c62e1479cc6737583732ed23edd/img_1619613786_f5e8671ca948498e8905509dd52d6c8d.jpeg","05735e106f0747d2a112d32678be8afd","Olivia Amato",NA,NA,NA,NA,NA,NA,NA
"39bf3d6c2d37496ea14e8eef42770b07","4512d63ab8844626a58ab1bc53f3ea27",2024-05-25 18:47:54,"America/New_York","t21n8m2","Strength","20 min Strength Roll Call: Glutes & Legs","COMPLETE",0,7.398,1200,"https://s3.amazonaws.com/peloton-ride-images/f54240a04326fa7b91cd36be4cb0efe1f8282da6/img_1716292569_798e3ca593084704b9d488e405071af4.png","f962a2b1b34d424cabab73bef81bc8db","Adrian Williams",NA,NA,NA,NA,NA,NA,NA
"5b6f9526262b46458520babfd20945df","48468457f39e456a90c72ef790e420ea",2024-05-25 17:18:57,"Etc/GMT+4","home_bike_plus","Cycling","30 min Intervals & Arms Ride","COMPLETE",251581.07,7.4665,1800,"https://s3.amazonaws.com/peloton-ride-images/b5c116c795c571c1b2f8a115d3bbb58f538fef22/img_1715967510_cdf0da98b2c34280af77b474e4ecb9b1.png","696bd08dd5284accab065e2147b121d7","Camila Ramón",8.66,252,NA,17.3,140,66,50
"6c8db164649c474995122cfc230bfa01","454bcd6b0728401b9fe59aeae2cf3676",2024-05-24 19:11:17,"Etc/GMT+4","home_bike_plus","Strength","10 min Core Strength","COMPLETE",0,7.445,600,"https://s3.amazonaws.com/peloton-ride-images/3f5859f1db17ed56913b97303aa1b7aeb4b65a27/img_1610547634_8f6def04ed9a44ff80b0370fb6218439.png","05735e106f0747d2a112d32678be8afd","Olivia Amato",NA,NA,NA,NA,NA,NA,NA
"236844537cf34ed2ae019614a5d4e499","4ae66907924e476cb10bbf50977269de",2024-05-24 18:41:42,"America/New_York","t21n8m2","Strength","20 min Arms & Shoulders Strength","COMPLETE",0,7.2127,1200,"https://s3.amazonaws.com/peloton-ride-images/4105980910f1943e2a5ea76b42c523f48545fa42/img_1716300782_4bfabdd8ee1f43cc9ed15acbf4ccede2.png","c406f36aa2a44a5baf8831f8b92f6920","Robin Arzón",NA,NA,NA,NA,NA,NA,NA
"756a49a1f89a4b9382e56e9ace19494a","d78e709c7e95455581b540a0dcb49b59",2024-05-24 17:12:05,"Etc/GMT+4","home_bike_plus","Cycling","30 min 80s Pop Ride","COMPLETE",291222.31,7.9143,1800,"https://s3.amazonaws.com/peloton-ride-images/bbc7eb20f83d008d13bf3dea7ba63b18dec82eab/img_1715962248_18250d82f85741ccb9e9e09865e80a35.png","048f0ce00edb4427b2dced6cbeb107fd","Jess King",9.84,291,NA,19.7,162,79,48
"e21acd7bee4a47bf9b007ee26c34c7b0","9d848fb785fa4ab1b705405f5121cc78",2024-05-23 19:31:33,"Etc/GMT+4","home_bike_plus","Bike Bootcamp","30 min Bootcamp: Upper Body","COMPLETE",173710.77,7.8278,1800,"https://s3.amazonaws.com/peloton-ride-images/f974c8b7d1c9d56da7c902b27ba3cd00dfb6f230/img_1690913043_c381083eef524fefa5efda34a4e99489.png","1b79e462bd564b6ca5ec728f1a5c2af0","Jess Sims",5.58,174,NA,20.4,178,84,49
"f4072157597847b2b3c645a348baac3c","1706229ae2c44fe385829a6f4d390fac",2024-05-22 23:06:57,"Etc/GMT+4","home_bike_plus","Stretching","5 min Post-Ride Stretch","COMPLETE",0,3.215,300,"https://s3.amazonaws.com/peloton-ride-images/97746043460c8bd2e0b392fc9b309230fba604f1/img_1715023717_a4ca34e66a98410b9d28312f9c264c43.png","4904612965164231a37143805a387e40","Kendall Toole",NA,NA,NA,NA,NA,NA,NA
